"","arm","cluster","Health_Sub_District","name_1","DIDE_CODE","year","res_1","res_2","LLIN_USE_BASELINE","X3_and_over_net_use_baseline","Predominant_Brand_BASELINE","Nets_Per_person_6m","sleeping_under_net_6m","Nets_Per_person_12m","sleeping_under_net_12m","Nets_Per_person_18m","sleeping_under_net_18m","sleeping_under_net_25m","Net_Type","Distribution_Month","month","days_after_jan_2017","year.1","Prevalence_baseline_2_10_yrs","Number_tested_baseline","Prevalence_6m","Number_tested_6m","Prevalence_12m","Number_tested_12m","Prevalence_18m","Number_tested_18m","Prevalence_25m","dn0_med_2014","rn0_med_2014","gamman_med_2014","dn0_med_2017","rn0_med_2017","gamman_med_2017","seasonal_a0","seasonal_a1","seasonal_b1","seasonal_a2","seasonal_b2","seasonal_a3","seasonal_b3","itn_leave_durMean","eir_est"
"41",3,22,"Bujenje","Masindi",103282,2017,0.49,0.65,0.9625,0.779220779,"PermaNet 2.0",0.540650407,0.845528455,0.454545455,0.783549784,0.609053498,0.798353909,0.658,"PermaNet 2.0","Jul-17",NA,195,2017,0.3,80,0.197183099,71,0.108108108,74,0.115942029,69,0.353,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,2.452808121,23.1043769470782
"42",3,23,"Buruli","Nakasongola",103292,2017,0.49,0.65,0.904109589,0.454545455,"PermaNet 2.0",0.511538462,0.819230769,0.478764479,0.737451737,0.3828125,0.6015625,0.619,"PermaNet 2.0","Jul-17",NA,195,2017,0.4021739,92,0.31884058,69,0.303030303,66,0.384615385,65,0.407,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.709808186,-1.093632822,-0.028698177,-1.451775535,-0.611081959,0.458444753,-0.128079948,6.204765042,42.3234009254184
"43",3,24,"Masindi Municipality","Masindi",103282,2017,0.49,0.65,0.922222222,0.554216867,"DawaNet",0.406727829,0.825688073,0.507575758,0.78030303,0.450549451,0.681318681,0.576,"PermaNet 2.0","Jul-17",NA,195,2017,0.1860465,86,0.219178082,73,0.0625,64,0.068965517,58,0.225,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,15,15.3976519067617
"44",3,26,"Bukonzo East","Kasese",103267,2017,0.49,0.65,1,0.104477612,"PermaNet 2.0",0.460207612,0.920415225,0.416666667,0.649425287,0.306060606,0.448484848,NA,"PermaNet 2.0","Jul-17",NA,195,2017,0.2178218,101,0.025,80,0.022222222,90,0.04,100,NA,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,15,20.1960895372268
"45",3,28,"Busongora North","Kasese",103267,2017,0.49,0.65,1,0.507462687,"PermaNet 2.0",0.409230769,0.830769231,0.246527778,0.420138889,0.183486239,0.293577982,NA,"PermaNet 2.0","Jul-17",NA,195,2017,0.1358025,81,0.03030303,66,0.016666667,60,0.114285714,70,NA,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.67083956,0.13064217,-0.626800461,-1.835793106,-0.779028081,0.092930363,-0.304686825,4.414209973,8.29404759127883
"46",3,31,"Buhaguzi","Hoima",103255,2017,0.49,0.65,0.965517241,0.285714286,"DawaNet",0.513513514,0.8996139,0.475884244,0.836012862,0.471380471,0.811447811,0.689,"PermaNet 2.0","Jul-17",NA,195,2017,0.4125,80,0.2,75,0.077922078,77,0.152173913,92,0.364,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.766026508,-1.013556666,-0.599220422,-1.51534868,-0.571764867,0.22498228,-0.190494503,15,54.6556305023636
"47",3,32,"Hoima Municipality","Hoima",103255,2017,0.49,0.65,0.783333333,0.127659574,"PermaNet 2.0",0.478417266,0.798561151,0.519148936,0.817021277,0.515283843,0.720524017,0.702,"PermaNet 2.0","Jul-17",NA,195,2017,0.1630435,92,0.038961039,77,0.030769231,65,0.0625,64,0.099,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.766026508,-1.013556666,-0.599220422,-1.51534868,-0.571764867,0.22498228,-0.190494503,15,11.6000909206892
"48",3,34,"Igara West","Bushenyi",103252,2017,0.49,0.65,1,0.924242424,"PermaNet 2.0",0.511538462,0.884615385,0.596774194,0.907258065,0.457249071,0.776951673,0.879,"PermaNet 2.0","Jul-17",NA,195,2017,0.1369863,73,0.075,80,0.088235294,68,0.115384615,78,0.109,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,5.22564091,8.66600573577945
"49",3,40,"Rubabo","Rukungiri",103298,2017,0.49,0.65,1,0.898734177,"PermaNet 2.0",0.503787879,0.897727273,0.529182879,0.739299611,0.594262295,0.799180328,0.787,"PermaNet 2.0","Jul-17",NA,195,2017,0.0285714,70,0.047619048,63,0.026315789,76,0,75,0,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.285988503,0.609958019,-0.246887099,-1.634883576,-0.693913071,-0.019604793,-0.26849525,3.904423591,2.66120398309723
"50",3,44,"Mwenge North","Kyenjojo",103276,2017,0.49,0.65,1,0.928571429,"PermaNet 2.0",0.503787879,0.787878788,0.539923954,0.923954373,0.367588933,0.616600791,0.482,"PermaNet 2.0","Jul-17",NA,195,2017,0.4814815,81,0.24137931,58,0.06779661,59,0.234375,64,0.25,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.683586481,-0.330723673,-0.726380844,-2.042241835,-0.448332536,0.316910357,-0.366186108,4.332431717,68.7230069734363
