arm,cluster,Health_Sub_District,name_1,DIDE_CODE,year,res_1,res_2,LLIN_USE_BASELINE,X3_and_over_net_use_baseline,Predominant_Brand_BASELINE,Nets_Per_person_6m,sleeping_under_net_6m,Nets_Per_person_12m,sleeping_under_net_12m,Nets_Per_person_18m,sleeping_under_net_18m,sleeping_under_net_25m,Net_Type,Distribution_Month,month,days_after_jan_2017,year.1,Prevalence_baseline_2_10_yrs,Number_tested_baseline,Prevalence_6m,Number_tested_6m,Prevalence_12m,Number_tested_12m,Prevalence_18m,Number_tested_18m,Prevalence_25m,dn0_med_2014,rn0_med_2014,gamman_med_2014,dn0_med_2017,rn0_med_2017,gamman_med_2017,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_leave_durMean,eir_est
3,1,Ibanda,Mbarara,103285,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.1276596,94,0.063492063,63,0.016666667,60,0.029411765,68,0.136,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,7.421773925,8.045335287
3,7,Isingiro South,Mbarara,103285,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.1219512,82,0.033333333,60,0.085365854,82,0,60,0.024,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,7.421773925,5.806406948
3,10,Kazo,Mbarara,103285,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.1428571,91,0.053333333,75,0.042857143,70,0.042857143,70,0.145,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,7.421773925,7.043849188
3,11,Nyabushozi,Mbarara,103285,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.1058824,85,0.086956522,69,0.1,70,0.044117647,68,0.071,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,7.421773925,7.359646319
3,15,Katerera,Bushenyi,103252,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.1612903,93,0.203389831,59,0.051948052,77,0.09375,96,0.139,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,7.421773925,7.794797371
3,16,Kibaale,Kibale,103270,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.4197531,81,0.129032258,62,0.14084507,71,0.101123596,89,0.341,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.817740943,-0.726461582,-0.641660125,-1.81789415,-0.42183137,0.299490368,-0.428818572,7.421773925,33.72783371
3,18,Kajara,Ntungamo,103294,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.0535714,56,0,62,0.011904762,84,0.012195122,82,0.014,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,1.990519842,0.725628797,-0.010574529,-1.305520532,-0.557125206,-0.074035487,-0.362517578,7.421773925,4.330098017
3,21,Rushenyi,Ntungamo,103294,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.0285714,70,0.046153846,65,0,74,0,67,0,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,1.990519842,0.725628797,-0.010574529,-1.305520532,-0.557125206,-0.074035487,-0.362517578,7.421773925,2.786471288
3,22,Bujenje,Masindi,103282,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.3,80,0.197183099,71,0.108108108,74,0.115942029,69,0.353,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,7.421773925,23.10437695
3,23,Buruli,Nakasongola,103292,2017,0.49,0.65,0.918157388,0.565393528,NA,0.4878698,0.872721675,0.517394436,0.802669372,0.444375666,0.721411451,0.638243243,PermaNet 2.0,Jul-17,,195,2017,0.4021739,92,0.31884058,69,0.303030303,66,0.384615385,65,0.407,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.709808186,-1.093632822,-0.028698177,-1.451775535,-0.611081959,0.458444753,-0.128079948,7.421773925,42.32340093
