"","clusters","time_point","PREV_OBS","PREV_EST"
"307",29,18,0.013157895,0.0161790017211704
"308",48,18,0,0.011663807890223
"309",49,18,0.012820513,0
"310",50,18,0.016949153,0.0093815149409312
"311",53,18,0.138888889,0.194115657761245
"312",54,18,0.453125,0.294938917975567
"313",67,25,0.198,0.328485278467542
"314",68,25,0.086,0.115828804347826
"315",70,25,0.208,0.3521028849496
"316",71,25,0.028,0.0627615062761506
"317",85,25,0.281,0.255939524838013
"318",86,25,0.253,0.161145617667357
"319",87,25,0.024,0.0653979238754325
"320",88,25,0.091,0.163174166952937
"321",95,25,0.108,0.172248803827751
"322",100,25,0.2,0.257398485891259
"323",101,25,0.266,0.1886925795053
"324",102,25,0.477,0.431179775280899
"325",103,25,0.047,0.0325744308231173
"326",4,25,0.318,0.524618585298197
"327",9,25,0.449,0.515392597717053
"328",22,25,0.353,0.317394317394317
"329",23,25,0.407,0.458475153165419
"330",24,25,0.225,0.226110363391655
"331",43,25,0.114,0.248548992830318
"332",69,25,0.684,0.770984798413748
"333",72,25,0.236,0.2839248434238
"334",73,25,0.014,0.0960355434039645
"335",74,25,0.329,0.588024381498745
"336",75,25,0.487,0.656593406593407
"337",76,25,0.349,0.621324831739284
"338",77,25,0.058,0.117238987166146
"339",78,25,0.462,0.78458904109589
"340",79,25,0.524,0.574929971988795
"341",80,25,0.302,0.479623824451411
"342",81,25,0.109,0.10188679245283
"343",82,25,0.198,0.639309616061994
"344",83,25,0.466,0.613519972686924
"345",84,25,0.633,0.716732072779165
"346",89,25,0,0.0194406548431105
"347",90,25,0.038,0
"348",91,25,0.586,0.628561378825185
"349",92,25,0.583,0.737455830388693
"350",93,25,0.477,0.66803840877915
"351",94,25,0.549,0.754356568364611
"352",96,25,0,0
"353",97,25,0.093,0.252897787144363
"354",98,25,0.274,0.278011204481793
"355",99,25,0.092,0.0294321329639889
"356",104,25,0.547,0.784159828754905
"357",1,25,0.136,0.092998585572843
"358",5,25,0.016,0.156651615144147
"359",6,25,0.012,0.0541922290388548
"360",7,25,0.024,0.0959097320169253
"361",8,25,0.108,0.175071022727273
"362",10,25,0.145,0.0943589743589744
"363",11,25,0.071,0.0321554770318021
"364",14,25,0.031,0.0656077348066298
"365",15,25,0.139,0.107776261937244
"366",16,25,0.341,0.35326650535776
"367",17,25,0.274,0.268383598780075
"368",18,25,0.014,0.0375086028905712
"369",19,25,0,0.0232558139534884
"370",20,25,0.038,0.152472527472527
"371",21,25,0,0.00835363731291333
"372",30,25,0.257,0.240028238616308
"373",31,25,0.364,0.344722598105548
"374",32,25,0.099,0.159943879340582
"375",33,25,0,0.000683994528043776
"376",34,25,0.109,0.0942480942480942
"377",35,25,0,0.00677277345072807
"378",36,25,0.125,0.292465753424658
"379",37,25,0.0286,0.103342428376535
"380",38,25,0.092,0.105841924398625
"381",39,25,0.015,0
"382",40,25,0,0.0113314447592068
"383",41,25,0.044,0.130635427760028
"384",42,25,0,0.00034494653328734
"385",44,25,0.25,0.399161132471164
"386",45,25,0.169,0.208067940552017
"387",46,25,0.035,0.0837931034482759
"388",47,25,0.127,0.0915365056302216
"389",51,25,0.235,0.320467422096317
"390",52,25,0.395,0.368814524741901
"391",55,25,0.437,0.183397012851685
"392",56,25,0.016,0.071753587679384
"393",57,25,0.061,0
"394",58,25,0.032,0.000346981263011797
"395",59,25,0,0.00477164280845262
"396",60,25,0,0.000356887937187723
"397",61,25,0,0
"398",62,25,0.014,0
"399",63,25,0,0
"400",64,25,0.016,0.000355745286374956
"401",65,25,0,0.00481430536451169
"402",66,25,0.012,0.000678886625933469
"403",2,25,NA,0.231616341030195
"404",3,25,NA,0.40818431911967
"405",12,25,NA,0.0630568882796436
"406",13,25,NA,0.0197642163661581
"407",25,25,NA,0.00523925951798812
"408",26,25,NA,0.166021807949349
"409",27,25,NA,0.12115982050397
"410",28,25,NA,0.110184219673271
"411",29,25,NA,0.03239289446186
"412",48,25,NA,0.0289455547898001
"413",49,25,NA,0
"414",50,25,NA,0.0217917675544794
"415",53,25,NA,0.226995940460081
"416",54,25,NA,0.326026443980515
